user_id,risk_status,risk_level,risk_score,reason,login_hour,files_accessed,sessions_per_day
1001,Normal,Low,7,Normal behavior,9,23,2
1002,Normal,Low,7,Normal behavior,9,36,2
1003,Normal,Low,6,Normal behavior,12,33,1
1004,Normal,Low,7,Normal behavior,9,38,2
1005,Normal,Low,9,Normal behavior,11,10,4
1006,Normal,Low,8,Normal behavior,16,13,3
1007,Normal,Low,7,Normal behavior,16,28,2
1008,Normal,Low,6,Normal behavior,18,7,1
1009,Normal,Low,9,Normal behavior,10,6,4
1010,Normal,Low,10,Normal behavior,10,31,5
1011,Normal,Low,6,Normal behavior,12,10,1
1012,Normal,Low,10,Normal behavior,12,12,5
1013,Normal,Low,8,Normal behavior,17,38,3
1014,Normal,Low,6,Normal behavior,17,12,1
1015,Normal,Low,6,Normal behavior,15,40,1
1016,Normal,Low,10,Normal behavior,10,21,5
1017,Normal,Low,7,Normal behavior,11,34,2
1018,Normal,Low,9,Normal behavior,16,30,4
1019,Normal,Low,10,Normal behavior,9,7,5
1020,Normal,Low,7,Normal behavior,17,5,2
1021,Normal,Low,9,Normal behavior,10,28,4
1022,Normal,Low,10,Normal behavior,11,13,5
1023,Normal,Low,7,Normal behavior,15,13,2
1024,Normal,Low,7,Normal behavior,15,35,2
1025,Normal,Low,6,Normal behavior,11,16,1
1026,Normal,Low,10,Normal behavior,13,26,5
1027,Normal,Low,8,Normal behavior,18,20,3
1028,Normal,Low,8,Normal behavior,10,26,3
1029,Normal,Low,8,Normal behavior,10,7,3
1030,Normal,Low,10,Normal behavior,12,14,5
1031,Normal,Low,10,Normal behavior,10,37,5
1032,Normal,Low,10,Normal behavior,9,30,5
1033,Normal,Low,6,Normal behavior,16,13,1
1034,Normal,Low,9,Normal behavior,18,20,4
1035,Normal,Low,10,Normal behavior,10,25,5
1036,Normal,Low,7,Normal behavior,13,26,2
1037,Normal,Low,10,Normal behavior,10,36,5
1038,Normal,Low,7,Normal behavior,11,6,2
1039,Normal,Low,10,Normal behavior,18,32,5
1040,Normal,Low,8,Normal behavior,9,36,3
1041,Normal,Low,10,Normal behavior,16,26,5
1042,Normal,Low,9,Normal behavior,9,33,4
1043,Normal,Low,6,Normal behavior,17,38,1
1044,Normal,Low,7,Normal behavior,13,37,2
1045,Normal,Low,9,Normal behavior,10,6,4
1046,Normal,Low,6,Normal behavior,16,28,1
1047,Normal,Low,7,Normal behavior,13,20,2
1048,Normal,Low,8,Normal behavior,11,26,3
1049,Normal,Low,6,Normal behavior,17,36,1
1050,Normal,Low,8,Normal behavior,14,21,3
1051,Normal,Low,7,Normal behavior,15,8,2
1052,Normal,Low,10,Normal behavior,13,5,5
1054,Normal,Low,10,Normal behavior,11,23,5
1055,Normal,Low,10,Normal behavior,16,40,5
1056,Normal,Low,10,Normal behavior,11,34,5
1057,Normal,Low,8,Normal behavior,18,40,3
1058,Normal,Low,8,Normal behavior,18,20,3
1059,Normal,Low,6,Normal behavior,11,9,1
1060,Normal,Low,10,Normal behavior,11,17,5
1061,Normal,Low,7,Normal behavior,17,24,2
1062,Normal,Low,7,Normal behavior,10,10,2
1063,Normal,Low,8,Normal behavior,14,17,3
1064,Normal,Low,7,Normal behavior,14,24,2
1065,Normal,Low,8,Normal behavior,14,22,3
1066,Normal,Low,7,Normal behavior,18,13,2
1067,Normal,Low,7,Normal behavior,18,24,2
1068,Normal,Low,7,Normal behavior,15,25,2
1069,Normal,Low,7,Normal behavior,11,31,2
1070,Normal,Low,6,Normal behavior,11,26,1
1071,Normal,Low,8,Normal behavior,13,9,3
1072,Normal,Low,8,Normal behavior,9,27,3
1073,Normal,Low,7,Normal behavior,15,31,2
1074,Normal,Low,7,Normal behavior,14,9,2
1075,Normal,Low,7,Normal behavior,10,21,2
1076,Normal,Low,8,Normal behavior,12,10,3
1077,Normal,Low,10,Normal behavior,11,7,5
1078,Normal,Low,8,Normal behavior,16,25,3
1079,Normal,Low,7,Normal behavior,11,14,2
1080,Normal,Low,6,Normal behavior,12,34,1
1081,Normal,Low,7,Normal behavior,14,23,2
1082,Normal,Low,10,Normal behavior,16,33,5
1083,Normal,Low,10,Normal behavior,9,23,5
1084,Normal,Low,6,Normal behavior,10,12,1
1085,Normal,Low,9,Normal behavior,16,20,4
1086,Normal,Low,9,Normal behavior,18,28,4
1087,Normal,Low,10,Normal behavior,17,26,5
1088,Normal,Low,9,Normal behavior,14,9,4
1089,Normal,Low,6,Normal behavior,16,29,1
1090,Normal,Low,9,Normal behavior,16,6,4
1091,Normal,Low,6,Normal behavior,14,23,1
1092,Normal,Low,9,Normal behavior,9,29,4
1093,Normal,Low,8,Normal behavior,13,7,3
1094,Normal,Low,7,Normal behavior,16,31,2
1095,Normal,Low,9,Normal behavior,15,11,4
1096,Normal,Low,6,Normal behavior,14,14,1
1097,Normal,Low,8,Normal behavior,18,31,3
1098,Normal,Low,6,Normal behavior,17,31,1
1099,Normal,Low,7,Normal behavior,11,25,2
1100,Normal,Low,6,Normal behavior,9,21,1
1101,Normal,Low,10,Normal behavior,9,11,5
1102,Normal,Low,8,Normal behavior,15,30,3
1103,Normal,Low,8,Normal behavior,12,19,3
1104,Normal,Low,10,Normal behavior,15,11,5
1105,Normal,Low,10,Normal behavior,18,25,5
1106,Normal,Low,10,Normal behavior,15,24,5
1107,Normal,Low,10,Normal behavior,9,30,5
1108,Normal,Low,10,Normal behavior,13,6,5
1109,Normal,Low,7,Normal behavior,18,30,2
1110,Normal,Low,10,Normal behavior,9,28,5
1111,Normal,Low,6,Normal behavior,10,9,1
1112,Normal,Low,9,Normal behavior,16,38,4
1113,Normal,Low,7,Normal behavior,12,22,2
1114,Normal,Low,6,Normal behavior,16,40,1
1115,Normal,Low,9,Normal behavior,10,28,4
1116,Normal,Low,9,Normal behavior,15,37,4
1117,Normal,Low,8,Normal behavior,13,7,3
1118,Normal,Low,10,Normal behavior,11,6,5
1119,Normal,Low,6,Normal behavior,11,14,1
1120,Normal,Low,7,Normal behavior,9,20,2
1121,Normal,Low,8,Normal behavior,14,28,3
1122,Normal,Low,9,Normal behavior,14,7,4
1123,Normal,Low,10,Normal behavior,10,7,5
1124,Normal,Low,9,Normal behavior,10,26,4
1125,Normal,Low,9,Normal behavior,9,12,4
1126,Normal,Low,8,Normal behavior,17,19,3
1127,Normal,Low,9,Normal behavior,18,13,4
1128,Normal,Low,6,Normal behavior,13,39,1
1129,Normal,Low,10,Normal behavior,11,15,5
1130,Normal,Low,10,Normal behavior,18,23,5
1131,Normal,Low,7,Normal behavior,10,37,2
1132,Normal,Low,10,Normal behavior,13,22,5
1133,Normal,Low,6,Normal behavior,15,39,1
1134,Normal,Low,10,Normal behavior,18,20,5
1135,Normal,Low,8,Normal behavior,13,21,3
1136,Normal,Low,7,Normal behavior,12,30,2
1137,Normal,Low,7,Normal behavior,12,21,2
1138,Normal,Low,9,Normal behavior,18,30,4
1139,Normal,Low,10,Normal behavior,13,7,5
1140,Normal,Low,8,Normal behavior,10,22,3
1141,Normal,Low,6,Normal behavior,16,33,1
1142,Normal,Low,10,Normal behavior,10,30,5
1143,Normal,Low,6,Normal behavior,10,21,1
1144,Normal,Low,9,Normal behavior,10,13,4
1145,Normal,Low,6,Normal behavior,18,40,1
1146,Normal,Low,10,Normal behavior,16,11,5
1147,Normal,Low,8,Normal behavior,12,24,3
1148,Normal,Low,7,Normal behavior,10,25,2
1149,Normal,Low,9,Normal behavior,9,7,4
1150,Normal,Low,8,Normal behavior,14,21,3
1151,Normal,Low,9,Normal behavior,14,6,4
1152,Normal,Low,10,Normal behavior,10,39,5
1153,Normal,Low,10,Normal behavior,13,34,5
1154,Normal,Low,8,Normal behavior,10,20,3
1155,Normal,Low,7,Normal behavior,10,13,2
1156,Normal,Low,8,Normal behavior,15,5,3
1157,Normal,Low,7,Normal behavior,11,10,2
1158,Normal,Low,10,Normal behavior,17,28,5
1159,Normal,Low,6,Normal behavior,9,11,1
1160,Normal,Low,8,Normal behavior,10,37,3
1161,Normal,Low,7,Normal behavior,10,9,2
1162,Normal,Low,10,Normal behavior,15,34,5
1163,Normal,Low,9,Normal behavior,14,33,4
1164,Normal,Low,9,Normal behavior,16,20,4
1165,Normal,Low,9,Normal behavior,16,27,4
1166,Normal,Low,9,Normal behavior,11,32,4
1167,Normal,Low,8,Normal behavior,18,36,3
1168,Normal,Low,7,Normal behavior,13,26,2
1169,Normal,Low,8,Normal behavior,15,9,3
1170,Normal,Low,8,Normal behavior,17,19,3
1171,Normal,Low,7,Normal behavior,15,30,2
1172,Normal,Low,9,Normal behavior,14,16,4
1173,Normal,Low,10,Normal behavior,17,38,5
1174,Normal,Low,10,Normal behavior,9,18,5
1175,Normal,Low,10,Normal behavior,18,5,5
1176,Normal,Low,10,Normal behavior,18,30,5
1177,Normal,Low,7,Normal behavior,9,20,2
1178,Normal,Low,6,Normal behavior,14,32,1
1179,Normal,Low,7,Normal behavior,18,13,2
1180,Normal,Low,6,Normal behavior,11,14,1
1181,Normal,Low,9,Normal behavior,17,31,4
1182,Normal,Low,8,Normal behavior,11,31,3
1183,Normal,Low,8,Normal behavior,15,30,3
1184,Normal,Low,9,Normal behavior,17,32,4
1185,Normal,Low,10,Normal behavior,12,37,5
1186,Normal,Low,7,Normal behavior,12,15,2
1187,Normal,Low,8,Normal behavior,15,12,3
1188,Normal,Low,6,Normal behavior,17,37,1
1189,Normal,Low,10,Normal behavior,9,17,5
1190,Normal,Low,9,Normal behavior,14,30,4
1191,Normal,Low,6,Normal behavior,16,10,1
1192,Normal,Low,6,Normal behavior,15,8,1
1193,Normal,Low,9,Normal behavior,16,20,4
1194,Normal,Low,8,Normal behavior,15,38,3
1195,Normal,Low,8,Normal behavior,15,38,3
1196,Normal,Low,8,Normal behavior,18,34,3
1197,Normal,Low,6,Normal behavior,13,24,1
1198,Normal,Low,8,Normal behavior,16,9,3
1199,Normal,Low,8,Normal behavior,14,9,3
1200,Normal,Low,6,Normal behavior,11,13,1
1201,Normal,Low,7,Normal behavior,13,36,2
1202,Normal,Low,7,Normal behavior,12,39,2
1203,Normal,Low,8,Normal behavior,14,5,3
1204,Normal,Low,6,Normal behavior,16,37,1
1205,Normal,Low,8,Normal behavior,17,25,3
1206,Normal,Low,10,Normal behavior,10,36,5
1207,Normal,Low,8,Normal behavior,18,5,3
1208,Normal,Low,7,Normal behavior,18,28,2
1209,Normal,Low,10,Normal behavior,11,27,5
1210,Normal,Low,10,Normal behavior,11,11,5
1211,Normal,Low,8,Normal behavior,9,40,3
1212,Normal,Low,9,Normal behavior,14,23,4
1213,Normal,Low,8,Normal behavior,11,15,3
1214,Normal,Low,8,Normal behavior,9,18,3
1215,Normal,Low,8,Normal behavior,15,31,3
1216,Normal,Low,7,Normal behavior,12,35,2
1217,Normal,Low,6,Normal behavior,12,35,1
1218,Normal,Low,6,Normal behavior,17,9,1
1219,Normal,Low,7,Normal behavior,15,29,2
1220,Normal,Low,6,Normal behavior,15,25,1
1221,Normal,Low,6,Normal behavior,10,29,1
1222,Normal,Low,10,Normal behavior,14,5,5
1223,Normal,Low,8,Normal behavior,12,10,3
1224,Normal,Low,6,Normal behavior,18,20,1
1225,Normal,Low,8,Normal behavior,18,13,3
1226,Normal,Low,9,Normal behavior,12,12,4
1227,Normal,Low,10,Normal behavior,15,38,5
1228,Normal,Low,6,Normal behavior,11,32,1
1229,Normal,Low,6,Normal behavior,14,10,1
1230,Normal,Low,10,Normal behavior,10,28,5
1231,Normal,Low,7,Normal behavior,14,23,2
1232,Normal,Low,7,Normal behavior,17,10,2
1233,Normal,Low,7,Normal behavior,17,14,2
1234,Normal,Low,7,Normal behavior,12,23,2
1235,Normal,Low,7,Normal behavior,12,34,2
1236,Normal,Low,7,Normal behavior,14,35,2
1237,Normal,Low,8,Normal behavior,11,12,3
1238,Normal,Low,9,Normal behavior,9,25,4
1239,Normal,Low,8,Normal behavior,11,31,3
1240,Normal,Low,8,Normal behavior,15,40,3
1241,Normal,Low,8,Normal behavior,9,9,3
1242,Normal,Low,8,Normal behavior,13,15,3
1243,Normal,Low,8,Normal behavior,14,25,3
1244,Normal,Low,7,Normal behavior,13,5,2
1245,Normal,Low,6,Normal behavior,9,34,1
1246,Normal,Low,7,Normal behavior,12,25,2
1247,Normal,Low,10,Normal behavior,9,35,5
1248,Normal,Low,6,Normal behavior,16,31,1
1249,Normal,Low,6,Normal behavior,18,23,1
1250,Normal,Low,6,Normal behavior,18,39,1
1251,Normal,Low,7,Normal behavior,10,14,2
1252,Normal,Low,9,Normal behavior,13,12,4
1253,Normal,Low,8,Normal behavior,17,13,3
1254,Normal,Low,10,Normal behavior,18,36,5
1255,Normal,Low,9,Normal behavior,13,6,4
1256,Normal,Low,7,Normal behavior,18,11,2
1257,Normal,Low,10,Normal behavior,10,21,5
1258,Normal,Low,10,Normal behavior,11,26,5
1259,Normal,Low,7,Normal behavior,16,13,2
1260,Normal,Low,8,Normal behavior,18,31,3
1261,Normal,Low,8,Normal behavior,18,19,3
1262,Normal,Low,6,Normal behavior,13,6,1
1263,Normal,Low,9,Normal behavior,12,27,4
1264,Normal,Low,7,Normal behavior,11,17,2
1265,Normal,Low,8,Normal behavior,10,13,3
1266,Normal,Low,9,Normal behavior,13,16,4
1267,Normal,Low,6,Normal behavior,13,11,1
1268,Normal,Low,9,Normal behavior,17,13,4
1269,Normal,Low,10,Normal behavior,18,10,5
1270,Normal,Low,10,Normal behavior,17,16,5
1271,Normal,Low,7,Normal behavior,10,30,2
1272,Normal,Low,7,Normal behavior,13,26,2
1273,Normal,Low,8,Normal behavior,17,28,3
1274,Normal,Low,7,Normal behavior,9,28,2
1275,Normal,Low,6,Normal behavior,12,14,1
1276,Normal,Low,8,Normal behavior,12,5,3
1277,Normal,Low,7,Normal behavior,18,14,2
1278,Normal,Low,10,Normal behavior,13,39,5
1279,Normal,Low,7,Normal behavior,12,24,2
1280,Normal,Low,7,Normal behavior,17,10,2
